Date,EFA,FXI,VNQ,XLE,QQQ,GLD,XLU,BIL,SHY,TLT,HYG,BND
3/1/13,58.1,38.6,69.32,77.79,67.38,152.44,37.5,45.81,84.46,118.9,93.72,83.62
2/28/13,58.22,38.95,69.09,77.69,67.1,153,37.43,45.81,84.46,118.51,94.04,83.73
2/27/13,58.28,38.47,69.16,77.85,67.24,154.57,37.3,45.81,84.47,118.29,94.08,83.69
2/26/13,57.55,38.12,68.66,76.68,66.56,156.22,36.96,45.8,84.47,118.64,93.92,83.71
2/25/13,57.09,38.04,68.19,75.93,66.31,154.34,36.85,45.8,84.45,119.33,93.46,83.67
2/22/13,58.49,38.54,69.51,77.97,67.14,152.97,37.18,45.81,84.43,117.03,93.75,83.4
2/21/13,57.66,38.51,68.82,77.16,66.47,152.62,36.81,45.8,84.43,116.95,93.52,83.36
2/20/13,58.54,39.04,69.34,77.7,67.19,151.44,36.97,45.81,84.4,116.27,93.42,83.28
2/19/13,59.12,39.44,69.79,79.36,68.24,155.33,37.04,45.8,84.4,115.92,93.51,83.22
2/15/13,58.43,40.32,69.24,78.45,67.75,155.76,36.72,45.8,84.41,116.5,93.42,83.25
2/14/13,58.58,40.22,69.21,79.36,67.95,158.35,36.64,45.81,84.4,116.84,93.41,83.32
2/13/13,58.9,40.05,69.5,78.68,67.97,159.05,36.94,45.8,84.39,115.79,93.45,83.2
2/12/13,58.76,39.83,69.54,78.4,67.73,159.89,36.94,45.81,84.4,116.74,93.31,83.31
2/11/13,58.47,39.77,69.02,78.19,68.01,159.7,36.78,45.81,84.42,117.03,92.99,83.29
2/8/13,58.53,39.85,68.92,78.58,67.99,161.57,36.69,45.81,84.45,117.12,93,83.39
2/7/13,58.16,39.52,68.29,77.85,67.3,161.84,36.69,45.81,84.44,116.67,92.98,83.41
2/6/13,58.64,40.46,68.58,78.05,67.24,162.39,36.64,45.81,84.44,116.93,93.16,83.4
2/5/13,58.65,40.62,68.34,78,67.46,161.96,36.53,45.81,84.42,115.98,93.3,83.2
