Date,IVV
2013-03-01,152.88
2013-02-28,152.5
2013-02-27,152.63
2013-02-26,150.79
2013-02-25,149.77
2013-02-22,152.63
2013-02-21,151.18
2013-02-20,152.06
2013-02-19,154
2013-02-15,152.95
2013-02-14,153.12
2013-02-13,152.94
2013-02-12,152.84
2013-02-11,152.5
2013-02-08,152.55
2013-02-07,151.78
2013-02-06,151.96
2013-02-05,151.76
2013-02-04,150.37
2013-02-01,152.03
2013-01-31,150.46
2013-01-30,150.86
2013-01-29,151.42
2013-01-28,150.92
2013-01-25,150.92
2013-01-24,150.18
2013-01-23,150.14
2013-01-22,149.86
2013-01-18,149.13
2013-01-17,148.74
2013-01-16,147.74
2013-01-15,147.8
2013-01-14,147.74
2013-01-11,147.87
2013-01-10,147.8
2013-01-09,146.69
2013-01-08,146.3
2013-01-07,146.7
2013-01-04,147.16
2013-01-03,146.44
2013-01-02,146.63
2012-12-31,143.14
2012-12-28,140.64
2012-12-27,142.25
2012-12-26,142.39
2012-12-24,143.06
2012-12-21,143.51
2012-12-20,144.83
2012-12-19,144.03
2012-12-18,146.05
2012-12-17,144.34
2012-12-14,142.76
2012-12-13,143.26
2012-12-12,144.16
2012-12-11,143.96
2012-12-10,143.13
2012-12-07,143
2012-12-06,142.5
2012-12-05,142.06
2012-12-04,141.8
2012-12-03,142.04
2012-11-30,142.71
2012-11-29,142.71
2012-11-28,142.01
2012-11-27,140.93
2012-11-26,141.78
2012-11-23,141.83
2012-11-21,140.08
2012-11-20,139.79
2012-11-19,139.74
2012-11-16,136.84
2012-11-15,136.28
2012-11-14,136.58
2012-11-13,138.32
2012-11-12,138.87
2012-11-09,138.6
2012-11-08,138.58
2012-11-07,140.25
2012-11-06,143.51
2012-11-05,142.41
2012-11-02,142.1
2012-11-01,143.46
2012-10-31,141.48
2012-10-26,141.93
2012-10-25,142.02
2012-10-24,141.59
2012-10-23,141.95
2012-10-22,144.02
2012-10-19,143.86
2012-10-18,146.47
2012-10-17,146.78
2012-10-16,146.2
2012-10-15,144.6
2012-10-12,143.41
2012-10-11,144.02
2012-10-10,143.93
2012-10-09,144.84
2012-10-08,146.22
2012-10-05,146.7
2012-10-04,146.81
2012-10-03,145.66
2012-10-02,145.13
2012-10-01,144.92
2012-09-28,144.4
2012-09-27,145.31
2012-09-26,143.93
2012-09-25,144.76
2012-09-24,147.02
2012-09-21,147.17
2012-09-20,147.33
2012-09-19,147.39
2012-09-18,147.28
2012-09-17,147.42
2012-09-14,147.88
2012-09-13,147.33
2012-09-12,145.04
2012-09-11,144.46
2012-09-10,144.1
2012-09-07,145
2012-09-06,144.35
2012-09-05,141.48
2012-09-04,141.28
2012-08-31,141.88
2012-08-30,141.08
2012-08-29,142.1
2012-08-28,141.96
2012-08-27,142.11
2012-08-24,142.17
2012-08-23,141.26
2012-08-22,142.4
2012-08-21,142.37
2012-08-20,142.83
2012-08-17,142.79
2012-08-16,142.56
2012-08-15,141.56
2012-08-14,141.4
2012-08-13,141.32
2012-08-10,141.38
2012-08-09,141.2
2012-08-08,141.11
2012-08-07,140.91
2012-08-06,140.2
2012-08-03,139.87
2012-08-02,137.2
2012-08-01,138.16
2012-07-31,138.45
2012-07-30,139.24
2012-07-27,139.33
2012-07-26,136.67
2012-07-25,134.49
2012-07-24,134.54
2012-07-23,135.67
2012-07-20,137.01
2012-07-19,138.29
2012-07-18,138.01
2012-07-17,136.9
2012-07-16,135.98
2012-07-13,136.3
2012-07-12,134.02
2012-07-11,134.64
2012-07-10,134.69
2012-07-09,135.84
2012-07-06,135.95
2012-07-05,137.34
2012-07-03,137.97
2012-07-02,137.04
2012-06-29,136.75
2012-06-28,133.39
2012-06-27,133.71
2012-06-26,132.46
2012-06-25,131.78
2012-06-22,133.96
2012-06-21,133.02
2012-06-20,135.99
2012-06-19,136.27
2012-06-18,135.51
2012-06-15,135.2
2012-06-14,133.92
2012-06-13,132.57
2012-06-12,133.47
2012-06-11,132.54
2012-06-08,133.52
2012-06-07,132.53
2012-06-06,132.36
2012-06-05,129.33
2012-06-04,128.6
2012-06-01,128.76
2012-05-31,131.85
2012-05-30,132.19
2012-05-29,134.15
2012-05-25,132.56
2012-05-24,132.84
2012-05-23,132.74
2012-05-22,132.66
2012-05-21,132.43
2012-05-18,130.22
2012-05-17,131.35
2012-05-16,133.33
2012-05-15,133.83
2012-05-14,134.62
2012-05-11,136.03
2012-05-10,136.49
2012-05-09,136.17
2012-05-08,136.99
2012-05-07,137.55
2012-05-04,137.49
2012-05-03,139.79
2012-05-02,140.84
2012-05-01,141.21
2012-04-30,140.28
2012-04-27,140.91
2012-04-26,140.66
2012-04-25,139.73
2012-04-24,137.79
2012-04-23,137.28
2012-04-20,138.4
2012-04-19,138.28
2012-04-18,139.11
2012-04-17,139.53
2012-04-16,137.48
2012-04-13,137.59
2012-04-12,139.3
2012-04-11,137.34
2012-04-10,136.4
2012-04-09,138.69
2012-04-05,140.3
2012-04-04,140.27
2012-04-03,141.78
2012-04-02,142.32
2012-03-30,141.21
2012-03-29,140.71
2012-03-28,141
2012-03-27,141.67
2012-03-26,142.06
2012-03-23,140.81
2012-03-22,140.33
2012-03-21,141.3
2012-03-20,141.56
2012-03-19,141.99
2012-03-16,141.41
2012-03-15,141.22
2012-03-14,140.38
2012-03-13,140.56
2012-03-12,138.07
2012-03-09,138.05
2012-03-08,137.51
2012-03-07,136.17
2012-03-06,135.16
2012-03-05,137.28
2012-03-02,137.85
2012-03-01,138.21
2012-02-29,137.32
2012-02-28,138.05
2012-02-27,137.67
2012-02-24,137.37
2012-02-23,137.14
2012-02-22,136.49
2012-02-21,136.95
2012-02-17,136.85
2012-02-16,136.52
2012-02-15,135.07
2012-02-14,135.67
2012-02-13,135.82
2012-02-10,134.88
2012-02-09,135.82
