Date,REM,IWM,VWO
5/4/2007,50.19,82.82,85.19
5/7/2007,50.18,82.58,85.49
5/8/2007,50.00,82.29,84.72
5/9/2007,50.30,82.62,85.74
5/10/2007,49.72,81.60,83.61
5/11/2007,50.08,82.34,85.80
5/14/2007,49.64,81.62,85.26
5/15/2007,48.78,80.97,85.30
5/16/2007,48.77,81.41,86.67
5/17/2007,48.38,80.78,86.17
5/18/2007,48.37,81.73,86.78
5/21/2007,49.01,82.76,86.97
5/22/2007,49.83,83.27,87.20
5/23/2007,49.99,83.05,86.63
5/24/2007,49.14,81.96,84.75
5/25/2007,49.40,82.49,86.42
5/29/2007,49.92,83.25,86.15
5/30/2007,49.92,83.81,87.00
5/31/2007,50.50,84.27,87.32
6/1/2007,50.62,84.70,89.29
6/4/2007,50.95,84.79,89.02
6/5/2007,50.95,84.45,88.53
6/6/2007,49.71,83.51,87.07
6/7/2007,48.94,81.78,85.53
6/8/2007,48.94,82.85,87.54
6/11/2007,48.94,82.87,87.80
6/12/2007,47.97,81.50,86.37
6/13/2007,48.26,82.59,88.29
6/14/2007,48.50,83.34,89.66
6/15/2007,49.40,84.33,91.20
6/18/2007,49.25,84.17,91.93
6/19/2007,49.25,84.39,92.11
6/20/2007,49.32,82.93,91.47
6/21/2007,48.41,83.58,92.50
6/22/2007,47.98,82.92,91.20
6/25/2007,47.26,82.49,90.44
6/26/2007,46.67,81.88,90.00
6/27/2007,46.36,83.59,91.17
6/28/2007,47.10,83.42,91.18
6/29/2007,45.37,82.90,91.29
7/2/2007,45.40,83.97,93.18
7/3/2007,45.92,84.37,94.19
7/5/2007,45.92,84.51,94.92
7/6/2007,45.83,84.80,96.21
7/9/2007,45.83,84.72,96.95
7/10/2007,44.55,83.33,95.25
7/11/2007,43.52,83.83,95.97
7/12/2007,43.53,84.82,98.48
7/13/2007,43.69,84.90,99.16
7/16/2007,43.27,84.48,97.72
7/17/2007,43.37,84.54,97.95
7/18/2007,41.99,84.27,97.59
7/19/2007,42.50,84.51,98.50
7/20/2007,42.05,83.25,98.24
7/23/2007,41.22,82.94,100.55
7/24/2007,39.90,81.00,97.57
7/25/2007,40.04,80.70,98.76
7/26/2007,39.34,78.54,93.32
7/27/2007,39.35,76.63,92.30
7/30/2007,38.42,77.96,95.85
7/31/2007,34.85,77.10,94.50
8/1/2007,32.73,77.52,93.00
8/2/2007,34.22,78.13,93.99
8/3/2007,32.11,75.35,90.20
8/6/2007,32.37,76.03,92.50
8/7/2007,31.33,77.20,92.84
8/8/2007,33.07,79.52,95.40
8/9/2007,32.65,77.69,91.44
8/10/2007,31.15,78.06,90.45
8/13/2007,29.86,77.64,91.00
8/14/2007,26.24,76.31,88.15
8/15/2007,26.39,75.20,83.81
8/16/2007,28.30,76.87,82.40
8/17/2007,31.16,78.41,85.56
8/20/2007,30.87,78.47,86.05
8/21/2007,31.16,78.69,85.39
8/22/2007,31.58,79.63,88.86
8/23/2007,31.38,78.61,89.60
8/24/2007,31.52,79.63,91.62
8/27/2007,30.25,78.53,92.05
8/28/2007,29.11,76.55,88.40
8/29/2007,29.53,78.56,92.58
8/30/2007,30.00,78.03,91.65
8/31/2007,30.75,78.74,94.49
9/4/2007,31.12,79.75,95.81
9/5/2007,30.16,79.01,93.59
9/6/2007,29.90,79.03,94.99
9/7/2007,30.14,77.73,93.11
9/10/2007,30.14,76.65,92.47
9/11/2007,30.70,77.99,95.12
9/12/2007,30.60,77.50,94.84
9/13/2007,31.38,77.69,95.78
9/14/2007,31.97,78.09,95.92
9/17/2007,31.67,77.23,95.04
9/18/2007,33.34,80.52,99.50
9/19/2007,33.98,81.60,99.72
9/20/2007,33.12,80.79,99.06
9/21/2007,33.42,80.96,100.75
9/24/2007,32.84,80.34,102.00
