,VYM
3/1/13,53.43
2/28/13,53.25
2/27/13,53.33
2/26/13,52.71
2/25/13,52.39
2/22/13,53.21
2/21/13,52.76
2/20/13,52.98
2/19/13,53.37
2/15/13,52.95
2/14/13,52.92
2/13/13,52.93
2/12/13,52.87
2/11/13,52.75
2/8/13,52.73
2/7/13,52.58
2/6/13,52.63
2/5/13,52.54
2/4/13,52.13
2/1/13,52.62
1/31/13,52.17
1/30/13,52.33
1/29/13,52.53
1/28/13,52.14
1/25/13,52.18
1/24/13,51.89
1/23/13,51.71
1/22/13,51.72
1/18/13,51.52
1/17/13,51.35
1/16/13,50.91
1/15/13,51.03
1/14/13,50.96
1/11/13,50.87
1/10/13,50.85
1/9/13,50.49
1/8/13,50.3
1/7/13,50.49
1/4/13,50.66
1/3/13,50.47
1/2/13,50.56
12/31/12,49.38
12/28/12,48.63
12/27/12,49.22
12/26/12,49.28
12/24/12,49.48
12/21/12,49.67
12/20/12,50.07
12/19/12,50.32
12/18/12,50.72
12/17/12,50.34
12/14/12,49.94
12/13/12,50.05
12/12/12,50.31
12/11/12,50.27
12/10/12,50.04
12/7/12,49.99
12/6/12,49.73
12/5/12,49.66
12/4/12,49.42
12/3/12,49.47
11/30/12,49.73
11/29/12,49.64
11/28/12,49.51
11/27/12,49.1
11/26/12,49.32
11/23/12,49.45
11/21/12,48.84
11/20/12,48.69
11/19/12,48.63
11/16/12,47.9
11/15/12,47.69
11/14/12,47.82
11/13/12,48.48
11/12/12,48.62
11/9/12,48.7
11/8/12,48.72
11/7/12,49.21
11/6/12,50.26
11/5/12,49.86
11/2/12,49.87
11/1/12,50.3
10/31/12,49.9
10/26/12,49.85
10/25/12,49.89
10/24/12,49.69
10/23/12,49.78
10/22/12,50.44
10/19/12,50.54
10/18/12,51.32
10/17/12,51.29
10/16/12,50.97
10/15/12,50.59
10/12/12,50.18
10/11/12,50.35
10/10/12,50.32
10/9/12,50.75
10/8/12,51.18
10/5/12,51.26
10/4/12,51.12
10/3/12,50.73
10/2/12,50.6
10/1/12,50.54
9/28/12,50.4
9/27/12,50.56
9/26/12,50.3
9/25/12,50.48
9/24/12,50.81
9/21/12,51.15
9/20/12,51.18
9/19/12,50.99
9/18/12,50.97
9/17/12,50.92
9/14/12,51.07
9/13/12,51.08
9/12/12,50.34
9/11/12,50.29
9/10/12,50.19
9/7/12,50.36
9/6/12,50.33
9/5/12,49.44
9/4/12,49.47
8/31/12,49.53
8/30/12,49.34
8/29/12,49.63
8/28/12,49.61
8/27/12,49.6
8/24/12,49.6
8/23/12,49.27
8/22/12,49.64
8/21/12,49.76
8/20/12,49.94
8/17/12,49.98
8/16/12,49.99
8/15/12,49.78
8/14/12,49.8
8/13/12,49.73
8/10/12,49.84
8/9/12,49.69
8/8/12,49.7
8/7/12,49.57
8/6/12,49.51
8/3/12,49.46
8/2/12,48.69
8/1/12,49.09
7/31/12,49.15
7/30/12,49.33
7/27/12,49.27
7/26/12,48.53
7/25/12,47.74
7/24/12,47.65
7/23/12,48.08
7/20/12,48.54
7/19/12,48.84
7/18/12,48.82
7/17/12,48.5
7/16/12,48.14
7/13/12,48.25
7/12/12,47.53
7/11/12,47.65
7/10/12,47.66
7/9/12,47.87
7/6/12,47.91
7/5/12,48.28
7/3/12,48.48
7/2/12,48.26
6/29/12,48.12
6/28/12,47.14
6/27/12,47.08
6/26/12,46.69
6/25/12,46.48
6/22/12,47.46
6/21/12,47.15
6/20/12,48.01
6/19/12,48.07
6/18/12,47.7
6/15/12,47.68
6/14/12,47.29
6/13/12,46.73
6/12/12,46.88
6/11/12,46.41
6/8/12,46.83
6/7/12,46.49
6/6/12,46.34
6/5/12,45.39
6/4/12,45.25
6/1/12,45.3
5/31/12,46.2
5/30/12,46.23
5/29/12,46.81
5/25/12,46.43
5/24/12,46.54
5/23/12,46.29
5/22/12,46.39
5/21/12,46.31
5/18/12,45.92
